rank,player,team,goals,assists,points
129,Saul Sabino,Piscataway Magnet,4,0,8
130,Alexis Blanca,New Brunswick,3,2,8
131,Andrew Lima,East Brunswick,3,2,8
132,Ricardo Illarreta,Carteret,3,2,8
133,Andras Szasz,Timothy Christian,2,4,8
134,Christopher DoCarmo,Monroe,2,4,8
135,David Seabra,Iselin Kennedy,2,4,8
136,Krystian Kotlewski,Old Bridge,2,4,8
137,Derian Wubbenhorst,St. Joseph (Met.),0,8,8
138,Delante Murphy,East Brunswick Magnet,3,1,7
139,Derlys Tinoco,Middlesex,3,1,7
140,Giovanni Santiago,East Brunswick Magnet,3,1,7
141,Ishan Bendre,South Brunswick,3,1,7
142,Jayden Harris,St. Joseph (Met.),3,1,7
143,Kadeem Wray,Carteret,3,1,7
144,Kcen Ventura,South Amboy,3,1,7
145,Rafay Zafar,Carteret,3,1,7
146,Arnesh Banerjee,J.P. Stevens,2,3,7
147,Caleb Ward,St. Joseph (Met.),2,3,7
148,Dylan Petersen,South Brunswick,2,3,7
149,Estuardo Godinez De Jesus,Piscataway Magnet,2,3,7
150,Gavin Maksel,Colonia,2,3,7
151,Hunter Ravi,South Plainfield,2,3,7
152,Jude Chaplin,Timothy Christian,2,3,7
153,Justin Ramos,Highland Park,2,3,7
154,Oluwatimilehin Oyinkolade,Iselin Kennedy,2,3,7
155,Ryder Redondo,Spotswood,2,3,7
156,Victor Ortiz,Monroe,2,3,7
157,Lamine Ndao,East Brunswick,1,5,7
158,Reshmen Loganthan,Iselin Kennedy,1,5,7
159,Aditya Shah,Woodbridge Magnet,3,0,6
160,Anri Imerlishvili,Monroe,3,0,6
161,Bryan Leao,St. Thomas Aquinas,3,0,6
162,Gabriel Keisel,Perth Amboy Magnet,3,0,6
163,Hunter Krainski,South River,3,0,6
164,Jeremias Del Cid,Woodbridge,3,0,6
165,Josue Guaman,Middlesex,3,0,6
166,Manan Baniswal,Edison Magnet,3,0,6
167,Pinak Paul Chowdhury,Edison Magnet,3,0,6
168,Aadi Shrestha,Timothy Christian,2,2,6
169,Aarush Bolla,J.P. Stevens,2,2,6
170,Aidan Diaz,Old Bridge,2,2,6
171,Ajlis Kaloci,Edison,2,2,6
172,Armando Sanchez,New Brunswick,2,2,6
173,Ethan Soto,East Brunswick Magnet,2,2,6
174,Gavin Gary,Woodbridge,2,2,6
175,Haadi Hammad,Iselin Kennedy,2,2,6
176,James Lopez,Colonia,2,2,6
177,Jeshua Vicuna,South Amboy,2,2,6
178,Kenneth Monge,North Plainfield,2,2,6
